date,full_optimized,equal_weight,train_optimized_frozen
2018-09-04,1.002883734531898,1.0061938710663185,1.001875309780123
2018-09-05,0.9950030327351095,0.9926966345403593,0.9956733780430891
2018-09-06,0.9924007465866513,0.9877685138959403,0.9940215085619788
2018-09-07,0.9948432613900962,0.99122813105701,0.9967805305692714
2018-09-10,0.9882983927865051,0.9815006504707113,0.9922019205005718
2018-09-11,0.9867529109387876,0.9797459103699941,0.9904288256938217
2018-09-12,0.9846736889286455,0.9767219869727679,0.9899007517029842
2018-09-13,0.9887832209632353,0.9823825897403858,0.9948080227926563
2018-09-14,0.9873167360723534,0.978983012912646,0.9960702934050116
2018-09-17,0.9813765832034105,0.9703301964141683,0.9905415180247328
2018-09-18,0.9913308845534997,0.984673901075766,0.9989996554350226
2018-09-19,0.9947491377304151,0.9927615143809865,1.0011882615038272
2018-09-20,0.9938104529198569,0.9913920435288142,1.0008815000717592
2018-09-21,1.0014573130951918,1.0076180212694739,1.0070188176948192
2018-09-25,0.9998363553059746,1.002872502596441,1.0056033951932777
2018-09-26,1.0037494773364255,1.009716141786246,1.0084854754529875
2018-09-27,1.0026346937425337,1.0063891910093001,1.007720890216709
2018-09-28,1.0049659667243402,1.0122038747026856,1.0085786608773595
2018-10-08,0.9951263937951393,0.9891514906851087,1.0036199598221653
2018-10-09,0.9951049208037149,0.9870520494689348,1.004646979249188
2018-10-10,0.9965600517898273,0.9879091339731609,1.006936345086101
2018-10-11,0.9795729813081417,0.954243619421747,0.9947488270511913
2018-10-12,0.9890916355596789,0.9648754951263145,1.00399829810066
2018-10-15,0.9856195542492012,0.9552368539107137,1.0021345442129956
2018-10-16,0.9802629265845609,0.9439315754840661,0.999787123207206
2018-10-17,0.98246021322253,0.9479912674419951,1.0017330536657547
2018-10-18,0.970898427954252,0.9317780416458991,0.9923990889073968
2018-10-19,0.9826605156510331,0.9522577156493546,0.9999763456670061
2018-10-22,0.9970662502441607,0.9797015785770513,1.0090487070972571
2018-10-23,0.990188998688804,0.9656076796841346,1.0045755492051256
2018-10-24,0.9877951864321586,0.9632280666664772,1.0035634956341444
2018-10-25,0.9867115304156464,0.9626066832787091,1.0038480303898225
2018-10-26,0.9859954766207873,0.9607217914638441,1.0049597593143302
2018-10-29,0.9782119739120877,0.9459030822513389,0.997754085690246
2018-10-30,0.9803689031944802,0.9508370079804834,0.9980103062975837
2018-10-31,0.984211917625948,0.9580431547766195,1.0004969005549642
2018-11-01,0.986342512515387,0.9612951718745465,1.002187102068604
2018-11-02,0.9991142900482514,0.9835124245662602,1.0099628053527363
2018-11-05,0.9973515670174922,0.9808300663681105,1.0084801873055018
2018-11-06,0.9981696260678237,0.9806264110445715,1.0089404641002508
2018-11-07,0.9983987062919172,0.9794174995224176,1.0089063523111084
2018-11-08,0.9965572550677498,0.975540586999411,1.0081573110170232
2018-11-09,0.992114744981036,0.969045409186114,1.0036679633821586
2018-11-12,0.9964676041622808,0.9796048435779005,1.0040357932920538
