code,name,full_sample_opt_weight,train_70pct_opt_weight,equal_weight
h21052.CSI,国信价值全收益指数,0.0,0.0,0.16666666666666666
CN2296.CNI,创成长R收益指数,0.11134917573934289,0.0,0.16666666666666666
h20269.CSI,红利低波全收益指数,0.0,0.0,0.16666666666666666
480092.CNI,自由现金流R收益指数,0.25223535553619914,0.28650356129411436,0.16666666666666666
518880.SH,518880 华安黄金ETF,0.2364154687244581,0.3134964387058858,0.16666666666666666
511260.SH,511260 十年国债ETF,0.4,0.4,0.16666666666666666
